Time	LAT	LON	Depth	Mag
2009/01/19 03:38:32.3000	53.933	160.42	30	5.1
2009/01/19 03:46:33.9000	-22.4	170.805	10	5.3
2009/01/19 10:09:12.6000	-21.372	-177.897	472	4.7
2009/01/19 13:49:22.9000	-4.444	129.374	38	4.7
2009/01/19 17:29:03.0000	7.656	126.786	81	5.1
2009/01/19 23:50:48.4000	22.795	-111.075	10	5.1
2009/01/20 04:06:56.3000	0.495	121.032	78	5.1
2009/01/20 09:26:13.7000	36.103	69.74	86	4.5
2009/01/20 09:53:33.6000	-0.748	133.166	35	4.9
2009/01/20 10:46:51.6000	-4.628	129.871	124	5.5
2009/01/20 11:03:04.4000	-10.699	166.095	206	4.8
2009/01/20 12:34:34.7000	-10.653	115.075	35	4.9
2009/01/20 15:03:40.1000	12.18	-88.58	71	4.7
2009/01/20 22:45:05.6000	10.125	-85.47	53	4.9
2009/01/21 01:42:24.2000	15.527	96.146	34	4.7
2009/01/21 02:19:15.7000	-22.841	170.902	35	4.9
2009/01/21 04:57:08.5000	17.557	120.404	50	4.6
2009/01/21 06:27:57.4000	-20.199	66.367	10	5.1
2009/01/21 09:34:16.2000	-30.176	-177.233	35	4.7
2009/01/21 17:08:42.9000	-22.686	171.033	24	5.8
2009/01/21 18:17:02.9000	-11.789	-75.639	10	4.6
2009/01/21 22:22:19.1000	-6.53	131.343	52	4.6
2009/01/22 03:01:52.8000	-0.514	127.4	121	5.2
2009/01/22 05:09:41.0000	47.078	155.499	10	5
2009/01/22 05:14:18.7000	47.061	155.484	10	4.8
2009/01/22 07:07:04.0000	-14.976	167.108	105	4.7
2009/01/22 07:20:18.8000	-0.326	132.815	35	4.8
2009/01/22 08:12:09.2000	-22.596	170.988	35	4.8
2009/01/22 12:20:58.9000	34.222	139.306	116	4.9
2009/01/22 14:03:12.7000	15.251	-91.562	189	5.1
2009/01/22 14:34:29.8000	53.204	-35.011	10	4.9
2009/01/22 15:24:33.6000	30.054	131.309	18	4.5
2009/01/23 01:50:20.2000	-15.194	167.51	146	4.8
2009/01/23 02:48:16.3000	-6.355	154.959	47	5.1
2009/01/23 03:35:28.1000	-20.024	-177.413	522	4.8
2009/01/23 08:26:00.2000	-57.083	-25.149	10	4.8
2009/01/23 12:56:07.5000	-36.375	-70.78	117	4.9
2009/01/23 21:27:57.9000	-30.293	-177.763	35	5
2009/01/24 00:36:14.2000	0.118	97.046	35	5
2009/01/24 01:28:39.4000	-28.176	-176.737	10	5.5
2009/01/24 02:33:41.1000	-10.434	161.576	108	4.5
2009/01/24 02:38:57.2000	24.807	125.68	37	5.1
2009/01/24 03:05:37.7000	-56.837	-25.043	52	4.9
2009/01/24 07:24:44.7000	-6.385	130.354	109	4.7
2009/01/24 08:38:54.2000	0.434	124.697	187	4.5
2009/01/24 09:01:57.9000	-19.585	-179.116	669	5.2
2009/01/24 13:46:35.3000	24.848	122.055	2	4.5
2009/01/24 13:52:29.2000	-8.424	125.083	26	5.2
2009/01/24 16:15:43.9000	13.134	-89.378	71	4.7
2009/01/24 17:33:38.6000	33.533	131.704	82	4.7
2009/01/24 19:30:14.2000	-19.035	-67.818	148	5.3
2009/01/24 22:43:08.9000	5.472	126.251	143	5
2009/01/24 23:30:12.2000	28.84	131.24	10	4.8
2009/01/25 01:17:07.3000	-1.319	148.602	63	4.6
2009/01/25 01:47:47.4000	43.29	80.883	19	5.3
2009/01/25 04:34:15.0000	10.48	-86.005	53	4.5
2009/01/25 06:56:57.6000	23.011	144.41	35	4.7
2009/01/25 08:07:59.0000	54.394	-161.434	9	4.1
2009/01/25 09:15:39.4000	-30.139	-177.736	38	5
2009/01/25 10:45:40.0000	40.462	144.915	35	4.5
2009/01/25 19:13:49.3000	-6.982	130.353	80	4.9
2009/01/25 21:16:25.0000	38.569	72.139	52	4.8
2009/01/26 01:50:06.5000	-15.213	-74.557	60	4.8
2009/01/26 05:23:24.1000	-0.046	99.907	130	5.1
2009/01/26 08:54:21.4000	36.548	139.54	132	5
2009/01/26 10:33:33.3000	3.855	126.962	24	4.9
2009/01/26 11:54:40.6000	-17.812	-178.605	593	5.5
2009/01/26 13:51:45.3000	-4.796	150.017	421	4.5
2009/01/26 22:30:31.0000	0.006	123.978	101	4.7
2009/01/27 00:57:34.8000	-11.478	117.488	7	5.3
2009/01/27 06:29:13.0000	-17.824	-178.694	601	5.1
2009/01/27 20:31:27.8000	0.385	97.312	10	4.9
2009/01/28 01:34:31.3000	-2.973	136.496	41	5.1
2009/01/28 02:39:13.1000	-0.398	98.228	41	4.8
2009/01/28 07:53:34.6000	-8.974	124.171	35	5.6
2009/01/28 10:18:26.4000	7.646	126.756	75	4.6
2009/01/28 12:39:42.7000	-16.969	-172.079	10	5.6
2009/01/28 19:51:57.6000	2.454	128.554	208	5
2009/01/28 20:29:57.0000	13.631	92.862	35	5.2
2009/01/28 23:56:08.0000	35.456	140.44	62	4.7
2009/01/28 23:59:07.0000	35.551	28.213	49	4.7
2009/01/29 04:45:04.0000	-9.044	124.181	53	5.1
2009/01/29 08:41:59.0000	32.728	-118.223	0	4.2
2009/01/29 11:22:51.5000	-7.052	125.567	479	4.7
2009/01/29 13:31:21.4000	13.171	125.992	89	4.8
2009/01/29 14:31:45.0000	-26.301	-178.02	339	4.7
2009/01/29 22:28:05.6000	-8.104	-71.381	602	5.3
2009/01/29 22:43:50.6000	10.939	124.895	53	5.3
2009/01/30 03:47:10.6000	-15.511	-174.36	10	5.2
2009/01/30 13:25:03.0000	47.772	-122.557	58	4.5
2009/01/31 03:18:02.6000	-0.705	133.425	19	4.8
2009/01/31 04:05:39.5000	8.743	126.315	104	4.6
2009/01/31 04:27:35.9000	11.794	94.988	27	5.1
2009/01/31 06:35:14.8000	5.006	94.825	74	4.8
2009/01/31 09:00:08.7000	-6.193	130.253	143	4.6
2009/01/31 10:42:35.1000	6.585	-73.27	170	4.4
2009/01/31 13:25:01.9000	18.22	-101.475	27	4.9
2009/01/31 14:40:15.7000	-22.885	-69.864	52	5.1
2009/01/31 16:29:36.7000	-19.402	-69.008	102	5.4
2009/01/31 21:09:22.0000	35.417	-117.786	8	4.4
2009/01/31 22:24:18.8000	53.462	160.554	57	4.6
2009/01/31 23:21:11.3000	52.824	160.098	47	4.5
2009/02/01 00:57:09.7000	38.549	20.379	31	4.7
2009/02/01 01:00:31.4000	-20.314	-68.676	135	4.6
2009/02/01 01:50:16.5000	4.756	127.64	117	4.9
2009/02/01 09:32:47.8000	37.866	142.418	31	5.1
2009/02/01 10:19:17.8000	42.293	144.431	48	4.5
2009/02/01 10:27:16.7000	40.49	42.329	4	4.6
2009/02/02 04:12:54.6000	12.792	-89.591	23	4.8
2009/02/02 04:13:37.6000	37.695	20.836	50	4.8
2009/02/02 08:36:47.5000	27.18	66.307	10	5
2009/02/02 09:04:33.7000	-4.534	102.732	43	4.9
2009/02/02 14:43:57.8000	-21.789	-179.443	588	4.8
2009/02/02 17:53:23.1000	-13.504	-76.494	25	5.8
2009/02/03 00:07:11.1000	-19.037	169.465	266	5.3
2009/02/03 03:14:18.4000	-16.474	-71.972	61	4.9
2009/02/03 09:36:41.8000	-6.647	130.655	35	4.7
2009/02/03 12:31:32.7000	12.879	122.045	10	4.5
2009/02/03 13:57:25.5000	-6.478	130.052	142	4.8
2009/02/03 15:06:00.0000	-24.488	-179.698	502	5.1
2009/02/03 15:37:25.5000	-0.338	132.515	35	4.6
2009/02/03 15:48:53.5000	-3.896	34.875	10	4.9
2009/02/04 03:14:26.3000	-23.878	179.76	533	4.6
2009/02/04 09:03:45.9000	2.383	96.23	26	4.9
2009/02/05 03:55:58.7000	-16.639	-173.765	95	4.8
2009/02/05 06:08:03.8000	16.098	-60.597	53	4.5
2009/02/05 08:47:47.9000	-27.426	-176.443	38	4.9
2009/02/05 15:49:29.8000	56.861	-156.307	70	4.1
2009/02/05 21:36:13.9000	19.196	39.161	10	4.8
2009/02/05 23:14:36.4000	-27.388	-176.442	52	4.9
2009/02/06 02:58:35.7000	-27.952	-71.072	52	5.5
2009/02/06 03:02:26.6000	-4.622	102.663	67	4.6
